Employee_ID,Name,Age,Gender,Education,Department,Job_Title,Experience,Performance_Rating,Overtime,Work_Mode,City,Company_Size,Marital_Status,Certification_Count,Skills_Score,Years_At_Company,Promotion_Last_5_Years,Annual_Bonus,Monthly_Salary,Years_at_Company
1619,Lee Wells,,Female,Bachelor's,Operations,Marketing Manager,20.0,4.0,No,Office,Kolkata,Startup,Divorced,8.0,42.0,9,No,70091,150743,
2808,John Johnson,23.0,Female,Bachelor's,,Product Manager,3.0,5.0,No,Hybrid,Ahmedabad,Startup,Married,7.0,43.0,1,No,36003,124214,
3432,Mr. Roger Daniel MD,25.0,Male,High School,Marketing,Data Scientist,1.0,2.0,Yes,Office,Delhi,Medium,Married,6.0,68.0,0,No,61566,109293,
4564,Kathryn Gordon,47.0,Female,Bachelor's,Operations,Database Administrator,21.0,3.0,No,Office,Pune,Enterprise,Married,3.0,48.0,6,No,151696,153653,
1947,Jerry Harris,29.0,Male,Diploma,IT,Frontend Developer,0.0,5.0,No,Office,Hyderabad,Large,Single,0.0,86.0,0,No,91634,92969,
409,Michael Tran,52.0,Female,Diploma,Legal,DevOps Engineer,17.0,4.0,No,Office,Bangalore,Large,Single,4.0,67.0,2,No,36138,151843,
3880,Julie Pham,45.0,Male,Diploma,Administration,Sales Executive,23.0,2.0,Yes,,Jaipur,Startup,Married,7.0,,12,No,54424,145665,
4449,Sally Lambert,26.0,Male,Bachelor's,IT,DevOps Engineer,2.0,5.0,No,Office,Faridabad,Large,Single,4.0,87.0,1,Yes,135677,140680,
3655,Brandon Roberts,46.0,Male,Diploma,,Data Engineer,9.0,5.0,No,Office,Mumbai,Medium,Single,6.0,51.0,2,Yes,115236,136688,
4209,Kim Johnson,59.0,Female,Bachelor's,IT,Product Manager,11.0,2.0,Yes,Remote,Chennai,Enterprise,Single,6.0,86.0,10,No,89170,164133,
981,Frank Reynolds,43.0,Male,Master's,Marketing,Backend Developer,1.0,5.0,Yes,Hybrid,Hyderabad,Medium,Married,6.0,93.0,1,Yes,73096,142160,
